UNet | patch_size: 512 | pos_weight: 8.0

train 1/6:  25%|██▌       | 223/875 [01:34<04:36,  2.36it/s]
train 1/6:  26%|██▌       | 224/875 [01:34<04:36,  2.36it/s]
train 1/6:  26%|██▌       | 225/875 [01:35<04:35,  2.36it/s]
train 1/6:  26%|██▌       | 226/875 [01:35<04:35,  2.36it/s]
train 1/6:  26%|██▌       | 227/875 [01:35<04:34,  2.36it/s]
train 1/6:  26%|██▌       | 228/875 [01:36<04:34,  2.36it/s]
train 1/6:  26%|██▌       | 229/875 [01:36<04:34,  2.36it/s]
train 1/6:  26%|██▋       | 230/875 [01:37<04:33,  2.36it/s]
train 1/6:  26%|██▋       | 231/875 [01:37<04:33,  2.36it/s]
train 1/6:  27%|██▋       | 232/875 [01:38<04:32,  2.36it/s]
train 1/6:  27%|██▋       | 233/875 [01:38<04:32,  2.36it/s]
train 1/6:  27%|██▋       | 234/875 [01:38<04:32,  2.36it/s]
train 1/6:  27%|██▋       | 235/875 [01:39<04:31,  2.35it/s]
train 1/6:  27%|██▋       | 236/875 [01:39<04:31,  2.35it/s]
train 1/6:  27%|██▋       | 237/875 [01:40<04:30,  2.36it/s]
train 1/6:  27%|██▋       | 238/875 [01:40<04:30,  2.35it/s]
train 1/6:  27%|██▋       | 239/875 [01:41<04:30,  2.35it/s]
train 1/6:  27%|██▋       | 240/875 [01:41<04:29,  2.35it/s]
train 1/6:  28%|██▊       | 241/875 [01:41<04:29,  2.35it/s]
train 1/6:  28%|██▊       | 242/875 [01:42<04:29,  2.35it/s]
train 1/6:  28%|██▊       | 243/875 [01:42<04:28,  2.35it/s]
train 1/6:  28%|██▊       | 244/875 [01:43<04:28,  2.35it/s]
train 1/6:  28%|██▊       | 245/875 [01:43<04:27,  2.35it/s]
train 1/6:  28%|██▊       | 246/875 [01:44<04:27,  2.35it/s]
train 1/6:  28%|██▊       | 247/875 [01:44<04:26,  2.35it/s]
train 1/6:  28%|██▊       | 248/875 [01:44<04:26,  2.35it/s]
train 1/6:  28%|██▊       | 249/875 [01:45<04:26,  2.35it/s]
train 1/6:  29%|██▊       | 250/875 [01:45<04:25,  2.35it/s]
train 1/6:  29%|██▊       | 251/875 [01:46<04:25,  2.35it/s]
train 1/6:  29%|██▉       | 252/875 [01:46<04:24,  2.35it/s]
train 1/6:  29%|██▉       | 253/875 [01:47<04:24,  2.35it/s]
train 1/6:  29%|██▉       | 254/875 [01:47<04:24,  2.35it/s]
train 1/6:  29%|██▉       | 255/875 [01:47<04:23,  2.35it/s]
train 1/6:  29%|██▉       | 256/875 [01:48<04:23,  2.35it/s]
train 1/6:  29%|██▉       | 257/875 [01:48<04:23,  2.35it/s]
train 1/6:  29%|██▉       | 258/875 [01:49<04:22,  2.35it/s]
train 1/6:  30%|██▉       | 259/875 [01:49<04:22,  2.35it/s]
train 1/6:  30%|██▉       | 260/875 [01:50<04:21,  2.35it/s]
train 1/6:  30%|██▉       | 261/875 [01:50<04:21,  2.35it/s]
train 1/6:  30%|██▉       | 262/875 [01:50<04:21,  2.35it/s]
train 1/6:  30%|███       | 263/875 [01:51<04:20,  2.35it/s]
train 1/6:  30%|███       | 264/875 [01:51<04:20,  2.35it/s]
train 1/6:  30%|███       | 265/875 [01:52<04:19,  2.35it/s]
train 1/6:  30%|███       | 266/875 [01:52<04:19,  2.35it/s]
train 1/6:  31%|███       | 267/875 [01:52<04:18,  2.35it/s]
train 1/6:  31%|███       | 268/875 [01:53<04:18,  2.35it/s]
train 1/6:  31%|███       | 269/875 [01:53<04:18,  2.35it/s]
train 1/6:  31%|███       | 270/875 [01:54<04:17,  2.35it/s]
train 1/6:  31%|███       | 271/875 [01:54<04:17,  2.35it/s]
train 1/6:  31%|███       | 272/875 [01:55<04:16,  2.35it/s]
train 1/6:  31%|███       | 273/875 [01:55<04:16,  2.35it/s]
train 1/6:  31%|███▏      | 274/875 [01:55<04:16,  2.35it/s]
train 1/6:  31%|███▏      | 275/875 [01:56<04:15,  2.35it/s]
train 1/6:  32%|███▏      | 276/875 [01:56<04:15,  2.35it/s]
train 1/6:  32%|███▏      | 277/875 [01:57<04:14,  2.35it/s]
train 1/6:  32%|███▏      | 278/875 [01:57<04:14,  2.35it/s]
train 1/6:  32%|███▏      | 279/875 [01:58<04:14,  2.34it/s]
train 1/6:  32%|███▏      | 280/875 [01:58<04:13,  2.35it/s]
train 1/6:  32%|███▏      | 281/875 [01:58<04:13,  2.35it/s]
train 1/6:  32%|███▏      | 282/875 [01:59<04:12,  2.35it/s]
train 1/6:  32%|███▏      | 283/875 [01:59<04:12,  2.35it/s]
train 1/6:  32%|███▏      | 284/875 [02:00<04:11,  2.35it/s]
train 1/6:  33%|███▎      | 285/875 [02:00<04:11,  2.35it/s]
